trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
85,3.91,0,1,0,11.6,0,0,74.0,-5.2,1.0,0
86,9.72,0,1,0,11.3,0,0,68.0,-5.5,1.0,0
85,11.72,0,0,1,13.1,0,0,60.0,-3.7,1.0,0
44,8.74,0,0,1,13.6,0,0,44.0,-3.2,1.0,0
86,8.56,0,1,0,14.8,0,0,57.0,-2.0,1.0,0
86,12.81,0,1,0,12.1,0,0,72.0,-4.7,1.0,0
86,8.0,0,1,0,12.1,0,0,61.0,-4.7,1.0,0
87,14.91,0,1,0,11.8,0,0,74.0,-5.0,1.0,0
85,14.14,0,1,0,12.4,0,0,68.0,-4.4,1.0,0
86,12.65,0,1,0,11.2,0,0,72.0,-5.6,1.0,0
88,5.02,0,1,0,12.2,0,0,68.0,-4.6,1.0,0
87,10.18,0,1,0,11.7,0,0,53.0,-5.1,1.0,0
112,16.93,0,1,1,12.8,0,0,69.0,-4.0,0.0,0
81,11.55,0,1,0,13.4,1,0,90.0,-3.4,0.0,0
98,14.05,0,1,0,13.5,1,0,91.0,-3.3,0.0,0
97,13.04,0,1,0,14.4,1,0,77.0,-2.4,0.0,0
2,0.24,1,0,0,12.2,0,0,24.0,-4.6,0.0,0
12,1.84,1,0,0,15.3,0,0,41.0,-1.5,0.0,0
38,6.51,0,1,0,12.1,0,0,64.0,-4.7,0.0,0
56,10.6,0,1,0,15.4,0,0,97.0,-1.4,0.0,0
79,7.24,0,1,0,12.6,0,0,63.0,-4.2,0.0,0
70,7.78,0,1,0,13.6,0,0,68.0,-3.2,0.0,0
